node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ3297,FMA23944,middle phalanx of left little finger,left,hand,hand_l,0.218921,0.687466,0.154912,0.230299,0.707061,0.171479,0.224610,0.697264,0.163196
FJ3298,FMA230988,middle phalanx of left little toe,left,foot,foot_l,0.158100,-0.070054,0.171552,0.166674,-0.063780,0.178954,0.162387,-0.066917,0.175253
FJ3299,FMA23940,middle phalanx of left middle finger,left,hand,hand_l,0.266517,0.662409,0.157858,0.280205,0.687767,0.180876,0.273361,0.675088,0.169367
FJ3300,FMA32642,middle phalanx of right second toe,right,foot,foot_r,-0.139355,-0.068010,0.207648,-0.125237,-0.059404,0.224688,-0.132296,-0.063707,0.216168
FJ3301,FMA32644,middle phalanx of right third toe,right,foot,foot_r,-0.151726,-0.068831,0.198867,-0.138889,-0.060914,0.215745,-0.145308,-0.064873,0.207306
FJ3302,FMA32646,middle phalanx of right fourth toe,right,foot,foot_r,-0.161342,-0.069889,0.185435,-0.149071,-0.061935,0.198806,-0.155207,-0.065912,0.192121
FJ3303,FMA24455,middle phalanx of right index finger,right,hand,hand_r,-0.309000,0.671006,0.151309,-0.294400,0.691476,0.172083,-0.301700,0.681241,0.161696
FJ3304,FMA24458,middle phalanx of right little finger,right,hand,hand_r,-0.230545,0.687570,0.154823,-0.218935,0.707155,0.171439,-0.224740,0.697362,0.163131
FJ3305,FMA230986,middle phalanx of right little toe,right,foot,foot_r,-0.166690,-0.070090,0.171450,-0.158080,-0.063739,0.178818,-0.162385,-0.066915,0.175134
FJ3306,FMA24456,middle phalanx of right middle finger,right,hand,hand_r,-0.280202,0.662457,0.157799,-0.266588,0.687807,0.180934,-0.273395,0.675132,0.169367
FJ3307,FMA24501,navicular bone of left foot,left,foot,foot_l,0.057930,-0.030974,0.094276,0.096644,-0.006297,0.121097,0.077287,-0.018636,0.107686
FJ3308,FMA24500,navicular bone of right foot,right,foot,foot_r,-0.096754,-0.030776,0.094329,-0.058190,-0.006156,0.120993,-0.077472,-0.018466,0.107661
FJ3309,FMA52735,occipital bone,midline,skull,skull,-0.061961,1.477770,-0.018001,0.060705,1.584510,0.100959,-0.000628,1.531140,0.041479
FJ3310,FMA43253,proximal phalanx of right big toe,right,foot,foot_r,-0.117196,-0.068639,0.186070,-0.086660,-0.051409,0.219289,-0.101928,-0.060024,0.202679
FJ3311,FMA32637,proximal phalanx of left third toe,left,foot,foot_l,0.125132,-0.067698,0.174617,0.145808,-0.055913,0.202834,0.135470,-0.061806,0.188725
FJ3312,FMA32639,proximal phalanx of left fourth toe,left,foot,foot_l,0.134309,-0.069705,0.164428,0.155900,-0.056525,0.188425,0.145105,-0.063115,0.176426
FJ3313,FMA71915,proximal phalanx of left index finger,left,hand,hand_l,0.280814,0.685721,0.134089,0.302810,0.723356,0.157057,0.291812,0.704538,0.145573
FJ3314,FMA66791,proximal phalanx of left little finger,left,hand,hand_l,0.222227,0.703385,0.138668,0.236294,0.735790,0.159461,0.229261,0.719588,0.149065
FJ3315,FMA32641,proximal phalanx of left little toe,left,foot,foot_l,0.142938,-0.069809,0.148775,0.164790,-0.059987,0.174019,0.153864,-0.064898,0.161397
FJ3316,FMA71908,proximal phalanx of left middle finger,left,hand,hand_l,0.259201,0.684299,0.135192,0.277380,0.724966,0.164096,0.268290,0.704632,0.149644
FJ3317,FMA71916,proximal phalanx of left ring finger,left,hand,hand_l,0.240492,0.690052,0.135709,0.253886,0.728958,0.161930,0.247189,0.709505,0.148819
FJ3318,FMA65470,proximal phalanx of left thumb,left,hand,hand_l,0.298694,0.735529,0.142629,0.318619,0.767168,0.164753,0.308657,0.751348,0.153691
FJ3319,FMA32634,proximal phalanx of right second toe,right,foot,foot_r,-0.133565,-0.066874,0.183555,-0.111346,-0.054546,0.211680,-0.122455,-0.060710,0.197618
FJ3320,FMA32636,proximal phalanx of right third toe,right,foot,foot_r,-0.145902,-0.067645,0.174436,-0.125076,-0.056204,0.202841,-0.135489,-0.061925,0.188639
FJ3321,FMA32638,proximal phalanx of right fourth toe,right,foot,foot_r,-0.155930,-0.069741,0.164379,-0.134339,-0.056499,0.188428,-0.145134,-0.063120,0.176403
FJ3322,FMA24451,proximal phalanx of right index finger,right,hand,hand_r,-0.302765,0.685819,0.134093,-0.280952,0.723197,0.156758,-0.291859,0.704508,0.145425
FJ3323,FMA24454,proximal phalanx of right little finger,right,hand,hand_r,-0.236329,0.703356,0.138721,-0.222152,0.735956,0.159523,-0.229241,0.719656,0.149122
FJ3324,FMA32640,proximal phalanx of right little toe,right,foot,foot_r,-0.164837,-0.069893,0.148711,-0.142885,-0.060047,0.174084,-0.153861,-0.064970,0.161398
FJ3325,FMA24452,proximal phalanx of right middle finger,right,hand,hand_r,-0.277414,0.684281,0.135112,-0.259208,0.724861,0.164201,-0.268311,0.704571,0.149656
FJ3326,FMA24453,proximal phalanx of right ring finger,right,hand,hand_r,-0.253824,0.689968,0.135658,-0.240591,0.728932,0.161977,-0.247208,0.709450,0.148817
FJ3327,FMA24450,proximal phalanx of right thumb,right,hand,hand_r,-0.318809,0.735607,0.142653,-0.298649,0.767198,0.164883,-0.308729,0.751402,0.153768
FJ3328,FMA32635,proximal phalanx of left second toe,left,foot,foot_l,0.111449,-0.066840,0.183485,0.133493,-0.054470,0.211624,0.122471,-0.060655,0.197555
FJ3329,FMA43254,proximal phalanx of left big toe,left,foot,foot_l,0.086703,-0.068415,0.186036,0.117082,-0.051552,0.219271,0.101893,-0.059984,0.202653
FJ3330,FMA8445,right tenth rib,right,rib_cage,rib_cage,-0.123648,1.022980,0.011359,-0.016873,1.158980,0.117687,-0.070260,1.090980,0.064523
FJ3331,FMA8531,right eleventh rib,right,rib_cage,rib_cage,-0.111353,1.008080,0.017962,-0.017596,1.121730,0.096018,-0.064475,1.064905,0.056990
FJ3332,FMA8533,right twelfth rib,right,rib_cage,rib_cage,-0.086533,1.011340,0.027992,-0.018212,1.089170,0.066097,-0.052373,1.050255,0.047045
FJ3334,FMA7857,right first rib,right,rib_cage,rib_cage,-0.069764,1.310070,0.064415,-0.015111,1.370480,0.130424,-0.042437,1.340275,0.097419
FJ3336,FMA7882,right second rib,right,rib_cage,rib_cage,-0.096972,1.273550,0.050653,-0.016049,1.359030,0.167157,-0.056511,1.316290,0.108905
FJ3338,FMA7909,right third rib,right,rib_cage,rib_cage,-0.108947,1.243820,0.036829,-0.014024,1.335970,0.179268,-0.061485,1.289895,0.108049
FJ3340,FMA7957,right fourth rib,right,rib_cage,rib_cage,-0.117593,1.211100,0.023195,-0.015012,1.315350,0.192192,-0.066302,1.263225,0.107693
FJ3342,FMA8066,right fifth rib,right,rib_cage,rib_cage,-0.127079,1.172160,0.012728,-0.015314,1.291320,0.197651,-0.071197,1.231740,0.105189
FJ3344,FMA8175,right sixth rib,right,rib_cage,rib_cage,-0.134349,1.137910,0.003641,-0.014837,1.265700,0.193505,-0.074593,1.201805,0.098573
FJ3346,FMA8229,right seventh rib,right,rib_cage,rib_cage,-0.137085,1.105190,0.004487,-0.013690,1.240270,0.180203,-0.075387,1.172730,0.092345
FJ3347,FMA8283,right eighth rib,right,rib_cage,rib_cage,-0.132968,1.074660,0.004564,-0.013677,1.211330,0.162678,-0.073322,1.142995,0.083621
FJ3348,FMA8364,right ninth rib,right,rib_cage,rib_cage,-0.129098,1.050090,0.007529,-0.015865,1.185370,0.135632,-0.072481,1.117730,0.071581
FJ3349,FMA23464,right radius,right,arm,forearm_r,-0.279535,0.805835,0.061103,-0.219833,1.035050,0.126908,-0.249684,0.920443,0.094005
FJ3350,FMA24464,right first metacarpal bone,right,hand,hand_r,-0.309577,0.760281,0.123627,-0.272236,0.797238,0.153861,-0.290906,0.778760,0.138744
FJ3351,FMA24507,right first metatarsal bone,right,foot,foot_r,-0.104365,-0.065329,0.129944,-0.074814,-0.022120,0.192182,-0.089589,-0.043725,0.161063
FJ3352,FMA24466,right second metacarpal bone,right,hand,hand_r,-0.292687,0.718871,0.117057,-0.261820,0.786869,0.142787,-0.277254,0.752870,0.129922
FJ3353,FMA24509,right second metatarsal bone,right,foot,foot_r,-0.121273,-0.066318,0.122448,-0.090657,-0.018325,0.187406,-0.105965,-0.042321,0.154927
FJ3354,FMA24468,right third metacarpal bone,right,hand,hand_r,-0.272346,0.720840,0.112326,-0.252486,0.785262,0.142733,-0.262416,0.753051,0.127529
FJ3355,FMA24511,right third metatarsal bone,right,foot,foot_r,-0.133596,-0.066377,0.118361,-0.098322,-0.023672,0.180857,-0.115959,-0.045025,0.149609
FJ3356,FMA24470,right fourth metacarpal bone,right,hand,hand_r,-0.253741,0.725279,0.115917,-0.241426,0.785158,0.141971,-0.247584,0.755219,0.128944
FJ3357,FMA24513,right fourth metatarsal bone,right,foot,foot_r,-0.142670,-0.067344,0.106976,-0.101867,-0.031959,0.169684,-0.122269,-0.049651,0.138330
FJ3358,FMA24472,right fifth metacarpal bone,right,hand,hand_r,-0.245314,0.732016,0.120076,-0.225202,0.786919,0.144520,-0.235258,0.759467,0.132298
